,,,," $1,084,159 ",,,,,
,State,County, # of Mailers ,Spend,,,,,
1,Tennessee,Shelby," 33,647 "," $22,308 ",,,,,
2,Pennsylvania,Philadelphia," 26,270 "," $17,417 ",,,,,
3,Alabama,Jefferson," 20,663 "," $13,700 ",,,,,
4,Kentucky,Fayette," 19,907 "," $13,198 ",,,,,
5,California,San Bernardino," 17,160 "," $11,377 ",,,,,
6,Ohio,Hamilton," 17,074 "," $11,320 ",,,,,
7,Kentucky,Jefferson," 16,449 "," $10,906 ",,,,,
8,Kentucky,Pulaski," 15,797 "," $10,473 ",,,,,
9,Kentucky,Madison," 15,787 "," $10,467 ",,,,,
10,Tennessee,Hamilton," 12,163 "," $8,064 ",,,,,
,Kentucky,Laurel," 12,068 "," $8,001 ",,,,,
,Maryland,Baltimore City," 11,908 "," $7,895 ",,,,,
,Pennsylvania,Schuylkill," 11,734 "," $7,780 ",,,,,
,Kentucky,Pike," 11,306 "," $7,496 ",,,,,
,Louisiana,Caddo," 10,407 "," $6,900 ",,,,,
,New Jersey,Camden," 10,065 "," $6,673 ",,,,,
,Kentucky,Franklin," 9,870 "," $6,544 ",,,,,
,New Jersey,Mercer," 9,213 "," $6,108 ",,,,,
,Kentucky,Boyd," 8,896 "," $5,898 ",,,,,
,Alabama,Montgomery," 8,802 "," $5,836 ",,,,,
,Alabama,Marshall," 8,665 "," $5,745 ",,,,,
,Pennsylvania,Delaware," 8,431 "," $5,590 ",,,,,
,Tennessee,Gibson," 8,263 "," $5,478 ",,,,,
,Kentucky,Scott," 8,234 "," $5,459 ",,,,,
,Ohio,Montgomery," 8,119 "," $5,383 ",,,,,
,Tennessee,Davidson," 8,080 "," $5,357 ",,,,,
,Kentucky,Greenup," 7,665 "," $5,082 ",,,,,
,Tennessee,Knox," 7,608 "," $5,044 ",,,,,
,Kentucky,Whitley," 7,515 "," $4,982 ",,,,,
,Kentucky,Floyd," 7,465 "," $4,949 ",,,,,
,Alabama,Talladega," 7,441 "," $4,933 ",,,,,
,Wisconsin,Milwaukee," 7,048 "," $4,673 ",,,,,
,Texas,Bexar," 7,036 "," $4,665 ",,,,,
,Ohio,Butler," 7,001 "," $4,642 ",,,,,
,Alabama,Etowah," 6,882 "," $4,563 ",,,,,
,Alabama,Walker," 6,819 "," $4,521 ",,,,,
,Arkansas,Pulaski," 6,737 "," $4,467 ",,,,,
,Alabama,Calhoun," 6,736 "," $4,466 ",,,,,
,Kentucky,Montgomery," 6,602 "," $4,377 ",,,,,
,Tennessee,Maury," 6,506 "," $4,313 ",,,,,
,Pennsylvania,Monroe," 6,496 "," $4,307 ",,,,,
,Tennessee,Warren," 6,469 "," $4,289 ",,,,,
,Kentucky,Christian," 6,301 "," $4,178 ",,,,,
,Ohio,Cuyahoga," 6,270 "," $4,157 ",,,,,
,Tennessee,Putnam," 6,090 "," $4,038 ",,,,,
,Kentucky,Lincoln," 5,954 "," $3,948 ",,,,,
,Alabama,Tuscaloosa," 5,898 "," $3,910 ",,,,,
,Arizona,Mohave," 5,852 "," $3,880 ",,,,,
,Kentucky,Clark," 5,788 "," $3,837 ",,,,,
,Pennsylvania,Montgomery," 5,636 "," $3,737 ",,,,,
,Alabama,St. Clair," 5,567 "," $3,691 ",,,,,
,Tennessee,Henry," 5,416 "," $3,591 ",,,,,
,Kentucky,Carter," 5,382 "," $3,568 ",,,,,
,Kentucky,Wayne," 5,347 "," $3,545 ",,,,,
,New Jersey,Cumberland," 5,302 "," $3,515 ",,,,,
,New York,Onondaga," 5,267 "," $3,492 ",,,,,
,Kentucky,Taylor," 5,160 "," $3,421 ",,,,,
,Kentucky,Bell," 5,134 "," $3,404 ",,,,,
,Kentucky,Boyle," 5,116 "," $3,392 ",,,,,
,New York,Erie," 4,964 "," $3,291 ",,,,,
,Tennessee,Coffee," 4,910 "," $3,255 ",,,,,
,Illinois,St. Clair," 4,798 "," $3,181 ",,,,,
,Kentucky,Russell," 4,712 "," $3,124 ",,,,,
,Kentucky,Warren," 4,675 "," $3,100 ",,,,,
,Ohio,Erie," 4,670 "," $3,096 ",,,,,
,Tennessee,Dickson," 4,615 "," $3,060 ",,,,,
,Tennessee,Sevier," 4,565 "," $3,027 ",,,,,
,Ohio,Columbiana," 4,565 "," $3,027 ",,,,,
,Oklahoma,Muskogee," 4,520 "," $2,997 ",,,,,
,Ohio,Marion," 4,482 "," $2,972 ",,,,,
,New York,Rensselaer," 4,403 "," $2,919 ",,,,,
,Kentucky,Knox," 4,391 "," $2,911 ",,,,,
,Mississippi,DeSoto," 4,345 "," $2,881 ",,,,,
,Alabama,Madison," 4,324 "," $2,867 ",,,,,
,Tennessee,Carroll," 4,319 "," $2,863 ",,,,,
,Texas,Harris," 4,252 "," $2,819 ",,,,,
,Kentucky,Barren," 4,212 "," $2,793 ",,,,,
,Michigan,Wayne," 4,167 "," $2,763 ",,,,,
,Indiana,Grant," 4,112 "," $2,726 ",,,,,
,Ohio,Richland," 4,108 "," $2,724 ",,,,,
,Tennessee,Bedford," 4,086 "," $2,709 ",,,,,
,Kentucky,Mason," 4,013 "," $2,661 ",,,,,
,New York,Oneida," 3,991 "," $2,646 ",,,,,
,New York,Chautauqua," 3,965 "," $2,629 ",,,,,
,Tennessee,Lawrence," 3,960 "," $2,625 ",,,,,
,Alabama,DeKalb," 3,953 "," $2,621 ",,,,,
,Kentucky,Rowan," 3,908 "," $2,591 ",,,,,
,Georgia,Laurens," 3,907 "," $2,590 ",,,,,
,Illinois,Madison," 3,898 "," $2,584 ",,,,,
,Tennessee,Sumner," 3,858 "," $2,558 ",,,,,
,Alabama,Shelby," 3,852 "," $2,554 ",,,,,
,Kentucky,Jessamine," 3,818 "," $2,531 ",,,,,
,New York,Steuben," 3,813 "," $2,528 ",,,,,
,Kentucky,Kenton," 3,796 "," $2,517 ",,,,,
,Kentucky,Johnson," 3,744 "," $2,482 ",,,,,
,Kentucky,Mercer," 3,715 "," $2,463 ",,,,,
,Kentucky,Clay," 3,707 "," $2,458 ",,,,,
,Tennessee,Wilson," 3,689 "," $2,446 ",,,,,
,Tennessee,Campbell," 3,686 "," $2,444 ",,,,,
,Kentucky,Rockcastle," 3,682 "," $2,441 ",,,,,
,Oklahoma,Garfield," 3,676 "," $2,437 ",,,,,
,Kentucky,Garrard," 3,658 "," $2,425 ",,,,,
,Ohio,Muskingum," 3,635 "," $2,410 ",,,,,
,Kentucky,Adair," 3,613 "," $2,395 ",,,,,
,Tennessee,Rutherford," 3,591 "," $2,381 ",,,,,
,Arkansas,Sebastian," 3,555 "," $2,357 ",,,,,
,Tennessee,Roane," 3,549 "," $2,353 ",,,,,
,Tennessee,Bradley," 3,524 "," $2,336 ",,,,,
,Tennessee,Sullivan," 3,495 "," $2,317 ",,,,,
,New Jersey,Atlantic," 3,476 "," $2,305 ",,,,,
,Ohio,Tuscarawas," 3,454 "," $2,290 ",,,,,
,Massachusetts,Dukes," 3,414 "," $2,263 ",,,,,
,Kentucky,Estill," 3,404 "," $2,257 ",,,,,
,Oklahoma,Washington," 3,371 "," $2,235 ",,,,,
,Tennessee,Hickman," 3,369 "," $2,234 ",,,,,
,Tennessee,Greene," 3,355 "," $2,224 ",,,,,
,Tennessee,Weakley," 3,350 "," $2,221 ",,,,,
,New York,Niagara," 3,346 "," $2,218 ",,,,,
,Georgia,Sumter," 3,343 "," $2,216 ",,,,,
,Tennessee,White," 3,324 "," $2,204 ",,,,,
,Ohio,Highland," 3,300 "," $2,188 ",,,,,
,New York,Schenectady," 3,286 "," $2,179 ",,,,,
,Florida,Duval," 3,272 "," $2,169 ",,,,,
,Tennessee,Obion," 3,262 "," $2,163 ",,,,,
,Tennessee,Benton," 3,229 "," $2,141 ",,,,,
,Kentucky,Shelby," 3,227 "," $2,140 ",,,,,
,Tennessee,Dyer," 3,161 "," $2,096 ",,,,,
,Kentucky,Anderson," 3,133 "," $2,077 ",,,,,
,Iowa,Des Moines," 3,118 "," $2,067 ",,,,,
,Tennessee,Montgomery," 3,112 "," $2,063 ",,,,,
,Oklahoma,Pottawatomie," 3,102 "," $2,057 ",,,,,
,Kentucky,Marion," 3,097 "," $2,053 ",,,,,
,Georgia,Chattooga," 3,092 "," $2,050 ",,,,,
,Kentucky,Bourbon," 3,082 "," $2,043 ",,,,,
,Kentucky,Green," 3,070 "," $2,035 ",,,,,
,Kentucky,Lawrence," 3,065 "," $2,032 ",,,,,
,Tennessee,Cocke," 3,052 "," $2,023 ",,,,,
,Tennessee,Rhea," 3,048 "," $2,021 ",,,,,
,Tennessee,McMinn," 3,040 "," $2,016 ",,,,,
,New York,Cayuga," 3,040 "," $2,016 ",,,,,
,New York,Jefferson," 3,033 "," $2,011 ",,,,,
,Indiana,Wayne," 3,029 "," $2,008 ",,,,,
,Tennessee,Overton," 3,015 "," $1,999 ",,,,,
,Iowa,Wapello," 3,008 "," $1,994 ",,,,,
,Ohio,Scioto," 3,004 "," $1,992 ",,,,,
,Pennsylvania,Dauphin," 2,997 "," $1,987 ",,,,,
,Alabama,Morgan," 2,994 "," $1,985 ",,,,,
,Kentucky,Casey," 2,991 "," $1,983 ",,,,,
,North Carolina,Johnston," 2,987 "," $1,980 ",,,,,
,Kentucky,Harlan," 2,967 "," $1,967 ",,,,,
,Tennessee,Cumberland," 2,955 "," $1,959 ",,,,,
,North Carolina,Watauga," 2,948 "," $1,955 ",,,,,
,Virginia,Danville City," 2,938 "," $1,948 ",,,,,
,New York,Oswego," 2,935 "," $1,946 ",,,,,
,Pennsylvania,Berks," 2,935 "," $1,946 ",,,,,
,Kentucky,Perry," 2,928 "," $1,941 ",,,,,
,Kentucky,Powell," 2,921 "," $1,937 ",,,,,
,Pennsylvania,York," 2,879 "," $1,909 ",,,,,
,Kentucky,Fleming," 2,850 "," $1,890 ",,,,,
,New York,Monroe," 2,846 "," $1,887 ",,,,,
,Kentucky,Lewis," 2,817 "," $1,868 ",,,,,
,Kentucky,Knott," 2,815 "," $1,866 ",,,,,
,Iowa,Clinton," 2,794 "," $1,852 ",,,,,
,Tennessee,Williamson," 2,782 "," $1,844 ",,,,,
,New York,Rockland," 2,763 "," $1,832 ",,,,,
,Pennsylvania,Lancaster," 2,718 "," $1,802 ",,,,,
,Alabama,Chilton," 2,712 "," $1,798 ",,,,,
,Iowa,Lee," 2,706 "," $1,794 ",,,,,
,Georgia,Bibb," 2,696 "," $1,787 ",,,,,
,Kentucky,Campbell," 2,675 "," $1,774 ",,,,,
,Georgia,Whitfield," 2,670 "," $1,770 ",,,,,
,New York,Cattaraugus," 2,653 "," $1,759 ",,,,,
,Ohio,Miami," 2,651 "," $1,758 ",,,,,
,Illinois,Winnebago," 2,651 "," $1,758 ",,,,,
,Pennsylvania,Chester," 2,632 "," $1,745 ",,,,,
,Ohio,Warren," 2,617 "," $1,735 ",,,,,
,Missouri,Butler," 2,604 "," $1,726 ",,,,,
,Arkansas,Crittenden," 2,586 "," $1,715 ",,,,,
,Tennessee,Cheatham," 2,585 "," $1,714 ",,,,,
,Pennsylvania,Fayette," 2,577 "," $1,709 ",,,,,
,Michigan,Lenawee," 2,574 "," $1,707 ",,,,,
,North Carolina,Cleveland," 2,561 "," $1,698 ",,,,,
,Kentucky,Hardin," 2,557 "," $1,695 ",,,,,
,Kentucky,Woodford," 2,554 "," $1,693 ",,,,,
,Kentucky,Nelson," 2,546 "," $1,688 ",,,,,
,Indiana,Clark," 2,545 "," $1,687 ",,,,,
,Alabama,Tallapoosa," 2,541 "," $1,685 ",,,,,
,Ohio,Stark," 2,536 "," $1,681 ",,,,,
,Ohio,Fairfield," 2,529 "," $1,677 ",,,,,
,New York,Saratoga," 2,528 "," $1,676 ",,,,,
,Tennessee,Decatur," 2,527 "," $1,675 ",,,,,
,New Jersey,Burlington," 2,521 "," $1,671 ",,,,,
,California,Kern," 2,507 "," $1,662 ",,,,,
,Tennessee,Marshall," 2,500 "," $1,658 ",,,,,
,Ohio,Seneca," 2,487 "," $1,649 ",,,,,
,North Carolina,Carteret," 2,483 "," $1,646 ",,,,,
,Alabama,Limestone," 2,480 "," $1,644 ",,,,,
,New York,Fulton," 2,477 "," $1,642 ",,,,,
,Kentucky,Morgan," 2,466 "," $1,635 ",,,,,
,Ohio,Clermont," 2,425 "," $1,608 ",,,,,
,Kentucky,Bath," 2,420 "," $1,604 ",,,,,
,Kentucky,Logan," 2,416 "," $1,602 ",,,,,
,Ohio,Ross," 2,413 "," $1,600 ",,,,,
,Indiana,Scott," 2,401 "," $1,592 ",,,,,
,Texas,Bell," 2,400 "," $1,591 ",,,,,
,Pennsylvania,Beaver," 2,400 "," $1,591 ",,,,,
,Illinois,Cook," 2,397 "," $1,589 ",,,,,
,North Carolina,Jackson," 2,390 "," $1,585 ",,,,,
,Tennessee,Franklin," 2,372 "," $1,573 ",,,,,
,New York,Genesee," 2,371 "," $1,572 ",,,,,
,Tennessee,Madison," 2,367 "," $1,569 ",,,,,
